"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2019-08-18","1224.03","1226.07","1214.33","1214.83","0.00 %","329,527,904.00"
"NEPSE","2019-08-19","1214.96","1229.5","1210.8","1222.06","0.00 %","389,625,280.00"
"NEPSE","2019-08-20","1222.04","1222.87","1212.1","1213.63","0.00 %","272,509,024.00"
"NEPSE","2019-08-21","1213.96","1216.3","1209.77","1214.05","0.00 %","292,641,728.00"
"NEPSE","2019-08-22","1214.37","1220.9","1212.43","1213.06","0.00 %","261,670,203.00"
"NEPSE","2019-08-25","1212.76","1213.23","1201.71","1209.62","0.00 %","350,269,509.00"
"NEPSE","2019-08-26","1209.7","1210.24","1199.31","1203.13","0.00 %","380,596,571.00"
"NEPSE","2019-08-27","1203.42","1212.3","1203.4","1208","0.00 %","244,668,209.00"
"NEPSE","2019-08-28","1209.7","1213.46","1197.32","1197.75","0.00 %","371,022,592.00"
"NEPSE","2019-08-29","1198.49","1201.23","1194.09","1196.41","0.00 %","277,359,659.00"
"NEPSE","2019-09-01","1196.6","1198.51","1184.06","1184.78","0.00 %","297,398,003.00"
"NEPSE","2019-09-02","1184.93","1190.88","1167.81","1170.34","0.00 %","407,569,712.00"
"NEPSE","2019-09-03","1170.87","1190.9","1156.72","1190.9","0.00 %","510,552,041.00"
"NEPSE","2019-09-04","1192.21","1198.48","1183.4","1194.77","0.00 %","436,444,688.00"
"NEPSE","2019-09-05","1195.89","1196.92","1189.05","1191.07","0.00 %","290,177,357.00"
"NEPSE","2019-09-08","1192.07","1192.33","1176.41","1178.46","0.00 %","305,310,719.00"
"NEPSE","2019-09-09","1178.47","1180.28","1166.09","1168.91","0.00 %","299,200,764.00"
"NEPSE","2019-09-10","1168.91","1172.82","1161.2","1166.67","0.00 %","237,959,653.00"
"NEPSE","2019-09-11","1166.68","1168.06","1161.95","1163.21","0.00 %","341,745,136.00"
"NEPSE","2019-09-12","1163.71","1164.09","1156.37","1157.88","0.00 %","376,184,491.00"
"NEPSE","2019-09-15","1157.68","1160.55","1140.01","1140.01","0.00 %","288,099,912.00"
"NEPSE","2019-09-16","1140.49","1140.55","1122.02","1123.83","0.00 %","343,918,221.00"
"NEPSE","2019-09-17","1127.26","1152.51","1127.26","1150.74","0.00 %","383,957,426.00"
"NEPSE","2019-09-18","1150.65","1173.14","1150.65","1172.15","0.00 %","455,311,885.00"
"NEPSE","2019-09-19","1173.44","1178.28","1155.3","1155.3","0.00 %","399,930,871.00"
"NEPSE","2019-09-22","1155.3","1157.79","1135.18","1139.25","0.00 %","226,950,238.00"
"NEPSE","2019-09-23","1139.92","1147.85","1137.87","1140.98","0.00 %","177,279,039.00"
"NEPSE","2019-09-24","1140.99","1141.62","1132.72","1134.56","0.00 %","218,278,449.00"
"NEPSE","2019-09-25","1134.56","1135.26","1130.88","1131.53","0.00 %","166,921,799.00"
"NEPSE","2019-09-26","1131.52","1133.8","1128.61","1129.8","0.00 %","212,541,352.00"
"NEPSE","2019-09-29","1129.81","1131.87","1123.66","1125.14","0.00 %","241,498,554.00"
"NEPSE","2019-09-30","1125.49","1135.56","1121.09","1135.56","0.00 %","168,828,923.00"
